Year,Arctic_DegC_Anomaly
1972,0.07
1973,0.15
1974,0.01
1975,0.02
1976,0
1977,0.22
1978,0.08
1979,0.12
1980,0.31
1981,0.32
1982,0.18
1983,0.23
1984,0.17
1985,0.04
1986,0.17
1987,0.48
1988,0.36
1989,0.3
1990,0.41
1991,0.48
1992,0.14
1993,0.26
1994,0.32
1995,0.49
1996,0.37
1997,0.42
1998,0.7
1999,0.38
2000,0.4
2001,0.62
2002,0.64
2003,0.57
2004,0.36
2005,0.64
2006,0.56
2007,0.59
2008,0.59
2009,0.74
2010,0.67
2011,0.7
2012,0.63
2013,0.62
2014,0.65
2015,0.79
2016,0.87
2017,0.85
2018,0.84
2019,0.92
2020,0.91
2021,0.9
2022,0.9
2023,1.18
2024,1.21
