Year,Mean_CO2_PPM,Annual_Increase_PPM
1979,336.85,2.14
1980,338.91,1.71
1981,340.11,1.15
1982,340.86,1
1983,342.53,1.83
1984,344.07,1.23
1985,345.54,1.65
1986,346.97,1.02
1987,348.68,2.65
1988,351.16,2.16
1989,352.78,1.46
1990,354.05,1.22
1991,355.39,0.75
1992,356.09,0.72
1993,356.83,1.23
1994,358.33,1.66
1995,360.17,2
1996,361.93,1.05
1997,363.05,1.97
1998,365.7,2.84
1999,367.8,1.33
2000,368.96,1.25
2001,370.57,1.85
2002,372.59,2.38
2003,375.15,2.28
2004,376.95,1.55
2005,378.98,2.47
2006,381.15,1.77
2007,382.9,2.12
2008,385.02,1.78
2009,386.5,1.58
2010,388.76,2.41
2011,390.63,1.68
2012,392.65,2.41
2013,395.4,2.45
2014,397.34,2.04
2015,399.65,2.96
2016,403.08,2.83
2017,405.22,2.13
2018,407.61,2.39
2019,410.07,2.5
2020,412.44,2.3
2021,414.7,2.47
2022,417.07,2.17
2023,419.31,2.82
