Year,Global sea level average Church and White (2011) and UHSLC,ann_d_GSL_mm,Total_GSL_mm
1972,-49.32270425,3.0086975,133.9913558
1973,-56.48073075,-1.97840025,126.8333293
1974,-43.06928575,2.99071375,140.2447743
1975,-43.10230825,-0.5851455,140.2117518
1976,-43.09308775,1.2444325,140.2209723
1977,-47.152622,-1.05361375,136.161438
1978,-43.99175275,-0.456709,139.3223073
1979,-48.978593,1.23436325,134.335467
1980,-39.8656235,1.0490345,143.4484365
1981,-28.92369575,2.59153475,154.3903643
1982,-31.40462875,0.23468675,151.9094313
1983,-26.60817925,-1.2695785,156.7058808
1984,-27.996555,1.07049325,155.317505
1985,-34.83284625,-1.85266325,148.4812138
1986,-33.367848,0.4329975,149.946212
1987,-31.03120975,-0.2117625,152.2828503
1988,-27.2527695,1.90693725,156.0612905
1989,-24.84229175,1.21837125,158.4717683
1990,-20.55393825,1.36222375,162.7601218
1991,-16.08136275,0.91916925,167.2326973
1992,-14.38187925,-0.986119,168.9321808
1993,-21.1773225,-2.7021525,162.1367375
1994,-18.1936515,2.666565,165.1204085
1995,-12.365325,1.5670995,170.948735
1996,-9.51543555,0.789289075,173.7986245
1997,-3.054291175,1.334796675,180.2597688
1998,-7.731137125,-1.54239,175.5829229
1999,-2.49151696,1.4312762,180.8225431
2000,-2.06249006,-0.278108125,181.25157
2001,2.897798725,1.74159025,186.2118587
2002,0.457521725,-0.007162325,183.7715817
2003,7.7933207,2.12396325,191.1073807
2004,8.641742825,-0.78990075,191.9558028
2005,9.10275375,-0.22909875,192.4168138
2006,12.44428375,1.36029925,195.7583438
2007,12.7793945,0.69482325,196.0934545
2008,22.474353,1.51521675,205.788413
2009,27.58577325,3.709045,210.8998333
2010,36.197918,0.08592975,219.511978
2011,36.18167175,-0.64212975,219.4957318
2012,42.34162825,2.8972415,225.6556883
2013,42.02689775,-2.22108825,225.3409578
2014,49.904703,4.572191,233.218763
2015,52.17943,-0.1916335,235.49349
2016,56.3307115,0.1579135,239.6447715
2017,55.11239075,-0.755371,238.4264508
2018,52.08327225,0.1955355,235.3973323
2019,60.9807395,3.487047,244.2947995
2020,65.9997375,-1.3767025,249.3137975
2021,63.29,1.54696,246.60406
2022,69.66,6.37,252.97406
