year,glacier_retreat,AFG,ALB,DZA,AND,AGO,ARG,AUS,AUT,BHS,BHR,BGD,BLZ,BEN,BTN,BOL,BWA,BRA,VGB,BRN,BGR,BFA,KHM,CMR,CAN,CAF,TCD,CHL,HKG,MAC,CHN,COL,COD,CUB,CYP,DNK,DMA,DOM,ECU,EGY,SLV,SWZ,FRO,FJI,FIN,FRA,PYF,GAB,GMB,DEU,GHA,GIB,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JPN,JOR,KEN,PRK,KOR,KWT,LAO,LBN,LSO,LBR,LBY,LIE,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,MCO,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,SMR,SAU,SEN,SYC,SOM,ZAF,ESP,LKA,LCA,VCT,SUR,SWE,CHE,SYR,TZA,THA,TGO,TON,TTO,TUN,UGA,ARE,GBR,USA,VIR,URY,VUT,VEN,VNM,PSE,WLD,ZMB,ZWE
1979,0,0.361,0.203,0.654,0.058,0.291,0.266,0.375,-0.112,0.133,0.856,0.495,0.524,0.499,0.414,0.181,0.543,0.017,-0.05,0.275,0.165,0.434,0.479,0.4,-0.214,0.38,0.459,0.286,0.029,0.029,0.299,0.191,0.4,0.349,0.607,-1.191,0.163,0.181,0.514,0.585,0.462,0.234,-0.873,0.154,-0.755,-0.187,0.105,0.385,0.63,-0.64,0.561,0.396,0.179,0.498,0.274,0.332,0.491,0.487,0.341,0.219,0.407,0.047,-1.239,0.305,0.235,0.684,1.264,-0.687,-0.777,0.607,0.022,0.458,0.77,0.055,0.619,0.596,1.291,0.538,0.693,0.326,0.55,0.302,-0.081,0.26,0.131,0.379,0.073,0.646,0.036,0.987,0.369,-0.08,-0.018,0.951,0.438,0.129,0.516,0.432,0.318,-0.902,0.208,0.316,0.177,0.714,0.508,-1.07,0.138,-0.005,0.198,0.117,0.096,0.241,0.355,-0.774,0.169,0.092,0.765,0.156,0.028,0.873,0.809,0.226,0.07,0.317,0.276,0.327,0.194,0.276,0.299,-1.091,-0.063,0.921,-0.09,0.617,0.447,0.271,0.249,0.426,0.33,0.445,-0.781,-0.306,-0.062,0.128,0.103,0.202,0.416,0.606,0.226,0.249,0.189
1980,1,0.6,-0.414,0.232,-0.188,0.279,0.373,0.887,-0.274,0.377,0.351,0.128,0.576,0.425,0.081,0.176,-0.038,0.313,0.75,0.185,-0.448,0.805,0.417,0.35,0.917,0.439,0.337,0.342,0.244,0.244,0.251,0.446,0.311,0.49,-0.295,-0.441,0.43,0.692,0.496,-0.08,0.395,-0.13,0.041,0.195,-0.38,-0.217,0.225,0.307,0.82,-0.186,0.446,0.312,-0.379,0.919,0.212,0.432,0.636,0.645,0.322,0.637,0.434,-0.62,0.407,0.401,0.29,0.54,0.058,-0.057,-0.031,-0.202,-0.421,-0.206,-0.113,0.561,0.004,-0.465,0.497,0.512,-0.229,0.19,0.417,-0.051,-0.159,0.319,0.231,0.292,0.15,0.97,-0.504,0.911,0.411,0.38,-0.353,0.473,0.548,0.093,0.298,0.269,0.121,0.01,0.421,0.007,0.511,0.518,0.375,-0.313,-0.02,0.485,0.481,0.207,0.187,0.361,0.136,-0.76,0.282,0.582,0.389,-0.639,-0.454,0.047,0.943,0.258,0.651,0.237,0.186,0.419,0.329,0.211,0.28,-0.569,-0.194,-0.174,0.41,0.536,0.418,0.238,0.248,-0.197,0.626,0.372,-0.022,0.412,0.718,0.571,0.147,0.346,0.368,-0.204,0.332,0.138,-0.024
1981,0,0.483,-0.351,0.215,0.178,-0.071,0.378,0.495,0.277,-0.03,0.408,-0.17,-0.068,0.161,0.212,0.167,-0.441,0.191,0.512,0.122,-0.043,0.282,0.389,0.045,1.562,0.003,0.037,0.373,0.37,0.37,0.219,0.129,0.15,-0.016,0.088,0.3,0.438,0.499,0.028,-0.259,0.046,-0.429,-0.364,0.161,-0.24,0.097,0.132,-0.176,0.622,0.296,0.181,0.358,-0.191,-0.36,0.331,-0.016,0.337,0.473,0.185,0.444,0.108,0.146,-0.909,0.072,0.2,0.677,0.257,0.377,0.292,-0.213,-0.279,-0.631,-0.158,0.183,-0.597,-0.767,0.418,0.486,0.017,-0.262,0.171,0.022,0.045,0.117,-0.191,0.256,0.092,0.395,-0.344,0.91,0.199,0.162,-0.083,0.217,0.414,-0.188,0.299,0.1,-0.087,0.339,0.377,0.427,0.255,0.04,0.155,-0.494,0.223,0.31,0.294,0.293,0.387,0.059,0.228,0.436,0.546,0.568,0.417,0.043,-0.328,0.077,0.767,0.17,0.121,-0.328,0.344,0.151,0.354,0.331,0.219,-0.228,-0.016,0.146,0.387,0.346,0.164,0.186,0.325,0.094,0.448,0.225,0.176,0.871,0.514,0.5,0.099,0.134,0.49,-0.215,0.443,-0.158,-0.36
1982,1,-0.346,0.173,0.399,1.044,0.164,0.359,0.186,0.384,0.531,-0.086,-0.041,0.526,0.211,-0.111,0.324,0.31,0.277,0.099,0.186,-0.13,0.18,0.15,0.061,-0.673,0.229,0.306,0.397,0.057,0.057,0.379,0.192,0.143,0.591,-0.337,0.002,0.08,0.419,0.595,-0.413,0.372,0.17,0.223,0.151,-0.155,0.812,0.323,-0.374,0.326,0.439,0.177,0.481,-0.243,-0.642,0.085,0.457,0.215,0.282,0.41,0.571,0.449,0.105,-0.258,-0.017,0.036,-0.12,-0.406,0.154,0.076,-0.564,0.511,-0.041,-0.682,0.297,0.911,0.42,-0.142,0.217,-0.496,0.3,0.249,0.136,0.544,0.293,0.0,0.27,0.269,0.264,0.623,0.593,0.316,0.573,0.55,1.135,0.431,-0.04,0.08,0.431,-0.164,0.47,0.194,-0.062,0.659,0.371,0.36,-0.054,-0.418,-0.37,0.444,-0.091,0.356,0.183,0.154,0.324,0.56,0.155,-0.13,-0.058,0.407,-0.397,0.339,0.433,0.336,0.212,0.709,0.137,0.089,0.087,0.228,-0.134,0.579,-0.536,0.437,0.182,0.173,0.238,0.082,0.821,0.385,-0.325,0.118,-0.343,0.052,0.574,0.072,0.116,0.196,-0.562,0.086,0.34,0.17
1983,1,0.164,-0.128,0.56,0.859,0.487,0.046,0.633,1.062,0.155,-0.834,-0.132,0.685,0.548,-0.286,0.537,1.012,0.471,0.533,0.563,0.389,0.724,0.537,0.164,0.488,0.425,-0.047,0.574,-0.193,-0.193,0.122,0.636,0.506,0.303,-0.805,1.06,0.457,0.631,1.176,-1.123,0.716,0.915,-0.266,0.111,0.964,0.721,0.189,0.174,1.131,1.071,0.691,0.382,-0.493,-2.062,0.36,0.649,0.635,0.902,0.539,0.622,0.581,0.997,-0.863,-0.135,0.405,-0.111,-0.802,0.408,0.381,-1.066,0.384,0.107,-1.071,0.609,0.598,0.456,-0.622,0.321,-0.958,1.007,0.536,-0.332,0.942,0.43,1.038,0.689,0.413,0.83,0.037,1.623,0.286,0.024,0.494,0.601,0.724,0.918,0.156,0.769,-0.423,0.87,0.692,-0.294,0.786,0.029,0.238,0.633,-0.698,-0.399,0.919,0.367,-0.312,1.303,0.602,1.452,0.286,0.543,-0.826,0.837,0.426,-0.847,1.25,0.503,0.454,0.707,0.55,0.637,0.379,0.364,0.453,0.911,0.869,-0.851,0.724,0.495,0.677,0.142,0.292,0.226,0.664,-0.697,0.348,0.54,0.552,-0.052,0.215,0.469,0.082,-1.068,0.46,1.064,1.223
1984,0,0.145,-0.27,-0.004,-0.157,0.631,-0.1,-0.157,-0.249,0.02,0.039,-0.322,0.254,0.542,-0.055,0.289,0.442,0.294,0.211,0.021,-0.022,0.799,0.194,0.196,0.337,0.125,0.508,-0.122,-0.528,-0.528,-0.148,-0.233,0.282,0.287,0.013,0.379,-0.039,0.265,0.024,-0.228,0.062,-0.04,0.489,0.358,0.757,-0.082,0.412,0.204,0.636,-0.11,0.665,-0.15,-0.123,-1.455,-0.048,0.116,0.38,0.516,-0.351,0.305,0.073,-0.129,0.204,-0.107,-0.11,0.151,0.036,0.336,0.356,-0.209,-0.468,-0.605,-0.227,0.173,-0.145,-0.282,0.256,0.129,-0.081,0.351,0.388,-0.076,-0.371,-0.1,0.363,0.052,0.169,0.609,-0.267,0.571,-0.21,-0.102,-0.603,-0.353,0.208,0.263,0.086,0.853,-0.079,0.062,0.328,0.174,0.04,0.607,0.794,0.532,-0.706,-0.206,-0.004,0.307,0.482,0.228,0.148,0.238,-0.12,0.146,0.039,-0.129,-0.58,-0.309,0.661,-0.294,-0.001,0.535,-0.163,-0.02,-0.039,-0.047,-0.252,0.583,-0.33,0.004,0.125,0.158,0.55,0.376,-0.101,-0.112,0.279,-0.187,0.337,-0.233,0.189,0.103,0.034,-0.107,-0.126,-0.201,0.127,0.575,0.483
1985,1,0.283,-0.103,0.508,0.059,0.694,0.308,0.349,-0.568,0.242,0.367,0.05,0.455,0.411,0.113,0.33,0.293,0.092,0.088,0.181,-0.605,0.472,0.348,0.025,-0.311,0.156,0.172,0.328,-0.294,-0.294,-0.127,-0.015,0.159,0.235,-0.068,-1.004,-0.062,0.099,-0.07,0.243,0.158,0.571,-0.118,0.317,-1.177,-0.338,0.154,-0.219,0.384,-0.8,0.357,0.592,-0.063,0.891,-0.429,0.164,0.382,0.361,-0.329,0.163,0.14,-1.068,0.164,0.211,0.151,0.243,0.021,-0.439,-0.489,0.01,0.117,0.13,-0.009,-0.057,0.152,0.262,0.003,0.321,-0.015,0.812,0.282,0.099,-0.336,0.088,0.016,0.244,-0.072,0.512,0.426,0.592,-0.06,0.097,-0.106,-0.444,0.797,-0.008,0.19,0.591,0.324,-0.851,0.509,0.398,0.107,0.284,0.389,-0.594,-0.104,0.221,-0.156,0.222,0.37,0.115,0.345,-1.046,0.528,-0.049,0.357,-1.193,0.178,-0.019,0.526,-0.114,0.007,0.663,0.484,0.077,-0.228,-0.426,0.001,-1.036,-0.328,-0.028,0.094,0.359,0.369,0.29,-0.534,0.407,0.098,0.138,-0.522,-0.025,0.041,0.431,0.603,-0.295,-0.028,0.017,-0.031,0.206,0.027
1986,1,-0.141,0.569,0.296,0.387,0.176,0.46,0.388,0.319,0.23,0.668,0.026,0.135,0.307,-0.068,0.437,0.278,0.285,0.04,0.156,0.36,0.356,0.128,0.084,0.011,0.478,0.63,0.08,0.012,0.012,-0.043,0.017,0.307,0.357,0.249,-0.444,0.015,0.255,0.194,0.118,0.222,0.321,-0.119,-0.103,-0.181,-0.003,0.278,-0.126,0.665,-0.007,0.294,0.227,0.312,0.381,-0.192,0.125,0.077,0.495,0.015,0.282,0.138,0.356,-0.077,0.19,0.138,0.207,0.37,-0.726,-0.684,0.056,0.436,-0.686,0.069,0.133,-0.702,-0.765,0.467,0.079,0.233,0.513,0.173,0.236,0.383,-0.041,0.162,0.281,0.149,0.304,0.4,0.293,0.181,0.298,0.433,0.361,0.19,0.103,0.091,0.38,-0.063,-0.197,0.366,0.382,0.171,0.733,0.544,-0.43,-0.042,-0.288,0.069,0.341,0.835,0.154,0.266,0.015,0.094,0.105,0.51,0.431,0.338,0.19,0.483,0.25,0.097,0.463,0.259,0.158,-0.076,-0.185,0.126,-0.493,0.242,0.402,0.174,0.137,0.212,0.082,-0.336,0.447,0.237,0.191,-0.594,0.584,0.057,0.77,-0.068,-0.163,0.088,0.055,0.242,0.061,0.025
1987,0,0.391,-0.106,0.975,0.397,0.689,0.446,0.363,-0.263,0.466,0.548,0.341,0.35,0.977,0.256,0.692,1.27,0.722,0.514,0.498,-0.484,1.011,0.694,0.487,1.34,0.504,0.344,0.616,0.831,0.831,0.43,0.573,0.6,0.736,-0.26,-0.985,0.596,0.737,1.074,-0.317,0.627,0.567,0.221,0.206,-1.652,0.001,0.478,0.272,1.068,-0.561,0.985,0.497,-0.395,-0.121,0.442,0.31,0.81,0.828,0.495,0.842,0.391,-0.547,0.685,0.578,0.514,0.536,0.368,-0.143,-0.222,-0.283,0.192,0.326,-0.122,0.73,0.231,0.374,0.723,0.982,-0.229,0.606,0.951,0.06,-0.045,0.534,0.679,0.59,0.595,1.081,0.525,1.562,0.656,-0.119,0.196,0.166,0.993,0.679,0.569,1.1,0.349,-0.503,0.069,0.397,0.422,0.655,0.823,-0.83,0.07,0.161,0.566,0.38,0.173,0.884,0.563,-1.081,0.752,0.597,0.385,-0.724,0.103,0.532,1.022,0.505,0.869,0.743,0.724,0.685,0.525,0.444,0.734,-1.201,-0.01,-0.174,0.598,0.815,0.964,0.049,0.422,0.61,0.605,0.162,-0.283,0.913,0.506,0.336,-0.166,0.415,1.048,-0.294,0.403,0.958,1.07
1988,1,0.919,0.37,1.304,0.883,0.572,-0.192,0.96,0.82,0.426,0.633,0.341,0.46,0.631,0.567,0.334,0.287,0.461,0.512,0.471,0.128,0.593,0.415,0.29,1.204,0.265,0.133,0.08,-0.139,-0.139,0.398,0.312,0.488,0.603,0.044,0.925,0.394,0.603,0.425,0.211,0.596,0.608,0.303,0.846,0.579,0.773,0.356,0.232,0.829,0.893,0.645,0.782,0.129,0.513,0.446,0.481,0.61,0.669,0.4,0.721,0.621,0.385,-0.088,0.504,0.437,0.706,0.106,0.246,0.27,0.037,0.842,-0.154,0.03,0.589,0.562,0.255,0.449,0.361,0.019,0.484,0.824,1.051,0.929,0.572,0.693,0.525,0.787,0.784,1.194,0.875,0.443,0.174,0.758,0.63,0.837,0.588,0.408,0.482,0.595,0.796,1.05,0.488,0.505,0.587,0.501,0.476,0.201,0.72,0.183,0.666,-0.073,0.511,0.799,0.681,0.637,0.528,0.494,0.092,0.771,0.452,0.874,0.418,0.719,0.338,0.796,0.704,0.424,0.453,0.561,0.726,0.916,-0.203,0.657,0.354,0.608,0.857,0.303,1.336,0.433,0.191,0.307,0.471,0.523,-0.504,0.689,0.161,0.181,0.033,0.558,0.627,0.447
